song,artist,name,knowledge,year,year_dec
OMG,Usher Featuring will.i.am,J,know it,2010,2010
Break Free,Ariana Grande Featuring Zedd,J,know it,2014,2010
Rolling In The Deep,Adele,J,know it,2011,2010
"Hold On, We're Going Home",Drake Featuring Majid Jordan,J,know it,2013,2010
Till The World Ends,Britney Spears,J,know it,2011,2010
Turn Me On,David Guetta Featuring Nicki Minaj,J,know it,2012,2010
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,J,know it,2011,2010
Set Fire To The Rain,Adele,J,know it,2012,2010
Ironic,Alanis Morissette,J,know it,1996,1990
Good Vibrations,Marky Mark and The Funky Bunch,J,know it,1991,1990
Sweet Dreams,Eurythmics,J,know it,1983,1980
Kokomo,"Beach Boys, The",J,know it,1988,1980
Hurts So Good,John Cougar,J,know it,1982,1980
Funky Town,"Lipps, Inc.",J,know it,1980,1980
Stayin' Alive,Bee Gees,J,know it,1978,1970
We Are Family,Sister Sledge,J,know it,1979,1970
Fly Like An Eagle,Steve Miller Band,J,know it,1977,1970
Hot Blooded,Foreigner,J,know it,1978,1970
That's The Way,K.C and the Sunshine Band,J,know it,1975,1970
Chain Of Fools,Aretha Franklin,J,know it,1968,1960
Can't Help Falling In Love,Elvis Presley,J,know it,1962,1960
"Paint It, Black","Rolling Stones, The",J,know it,1966,1960
Hot N Cold,Katy Perry,J,singing the lyrics,2008,2000
London Bridge,Fergie,J,singing the lyrics,2006,2000
Bad Day,Daniel Powter,J,singing the lyrics,2006,2000
SexyBack,Justin Timberlake,J,singing the lyrics,2006,2000
You Belong With Me,Taylor Swift,J,singing the lyrics,2009,2000
Gold Digger,Kanye West,J,singing the lyrics,2005,2000
Last Friday Night (T.G.I.F.),Katy Perry,J,singing the lyrics,2011,2010
E.T.,Katy Perry,J,singing the lyrics,2011,2010
Can't Feel My Face,The Weeknd,J,singing the lyrics,2015,2010
Shake It Off,Taylor Swift,J,singing the lyrics,2014,2010
I Like It,Enrique Iglesias Featuring Pitbull,J,singing the lyrics,2010,2010
Live While We're Young,One Direction,J,singing the lyrics,2012,2010
We Are Young,fun. Featuring Janelle Monae,J,singing the lyrics,2012,2010
Your Love Is My Drug,Ke$ha,J,singing the lyrics,2010,2010
I Knew You Were Trouble.,Taylor Swift,J,singing the lyrics,2012,2010
We Can't Stop,Miley Cyrus,J,singing the lyrics,2013,2010
We R Who We R,Ke$ha,J,singing the lyrics,2010,2010
